search_term,researcher_name,institute,lab,researcher_uuid
woonbok,Woonbok Chung,Coriell Institute for Medical Research,The Issa & Jelenik Lab,e4528abd-51f9-4644-9a34-51de042b7197
jj,Jaroslav Jelinek,Coriell Institute for Medical Research,The Issa & Jelenik Lab,861a8d4e-734f-4dbf-8efb-808add7d90eb
shoghag,Shoghag Panjarian,Coriell Institute for Medical Research,The Issa & Jelenik Lab,096d650a-f7a9-4589-977e-6a750d289b3b
himani,Himani Vaidya,Coriell Institute for Medical Research,The Issa & Jelenik Lab,245bee66-f7df-48e6-ab01-9f3db8e7461f
peace,Peace Park,Coriell Institute for Medical Research,The Issa & Jelenik Lab,1aa6a879-7de4-400c-9cee-9b67aff8efa5
jian,Jian Huang,Coriell Institute for Medical Research,The Jian Huang Lab,8ea62a96-59bd-40e2-8c52-4580b023c9a5
zhaorui,Zhaorui Lian,Coriell Institute for Medical Research,The Jian Huang Lab,2d98aba8-f1fd-40ed-931f-ff43a0529e9c
zhang,Yi Zhang,Harvard Stem Cell Institue,,c0e367fc-933d-47dc-abe1-6a6da369de02
engel,Nora Engel,Coriell Institute for Medical Research,The Nora Engel Lab,df9fa6c0-7dec-499e-969d-4e99caf2397f
diego,Diego Morales,Coriell Institute for Medical Research,,358c50f0-87e3-42a9-8d3f-8c00b6fe877e
wang,Peng Wang,Coriell Institute for Medical Research,,24e6ddb0-bcab-4315-a1db-57b1355db94e
laura,Laura Scheinfeldt,Coriell Institute for Medical Research,The Scheinfeldt Lab,065e18e3-498f-4119-a092-fd9c604451f9
platoff,Rebecca Platoff,Cooper University Hospital (CUH),,a49ebfa3-3208-4e70-8488-40c268cb051d
bela,Bela Patel,Fels Institute for Cancer Research and Molecular Biology,,7c998658-803d-4ede-b6aa-b0cddf665ff9
whelan,Kelly Whelan,Fels Institute for Cancer Research and Molecular Biology,,6cb5063c-5ae4-43d3-a566-c5a711037f36
"italo,tempera",Italo Tempera,The Wistar Institute,,a13fa60f-27b5-4b12-9504-29445ff57422
