organism_uuid,cell_line_uuid
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,6ede92ed-a78c-4bbd-ba36-230d2d412c3a
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,c49d0768-ed83-41fd-b23c-6814b0f8c4e6
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,339e8653-fb25-44aa-8813-ce6637557b79
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,c0bd2252-a040-4e34-bd4b-4ed4128fabd1
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,a6a454c7-0fbb-4e3a-bbd0-1de737e35c18
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,66104ab8-3e31-4878-b027-8ea4d601f748
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,9d9a6b84-b2f0-4979-8fa1-9f941a25a486
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,5140e449-2baa-4e4a-bd0a-5b40ff01c0d6
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,2b4e8678-2f52-4a62-b570-13284ea106b5
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,1bec8d11-f63f-4d33-aecd-89877af728f8
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,accc651c-7186-46ca-ab7d-172c802994b7
a5c50851-1967-4e8a-9b50-72a193b2ec71,2939dc7e-d435-4896-9437-8989d914189d
a5c50851-1967-4e8a-9b50-72a193b2ec71,e09c0b24-4e55-4487-9d40-9b73b5a238ec
a5c50851-1967-4e8a-9b50-72a193b2ec71,4dc622bb-79ef-4a58-b910-fe92272a24d6
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,9f90a47c-71b5-4abb-bf4c-8faae7ac4805
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,96dfa383-6976-44f2-a51c-942e8252e9e6
